ID,Name,Category,Architecture,Overall,,,Vision Encoder,,,,,LLM Backbone,,,,Adaptors and Projectors,,,
,,,,PT,IT,FT,Name,Resolution,PT,IT,FT,Name,PT,IT,FT,Name,PT,IT,FT
1,Arctic-TILT,end-to-end,Page-to-Document Encoding Models,trained,-,trained,U-Net,400k tokens / 500p,trained,-,trained,T5-Large,trained,-,trained,TILT fusion,trained,-,trained
2,AVIR,partial,Retriever-Generator Pipeline,-,-,trained,Pix2Struct,"dynamic, 768-5120 patches",-,-,frozen,Qwen2.5-VL-3B-AWQ,-,-,frozen,Frozen Qwen MLP projector,-,-,trained
3,CoR,partial,Backbone-Centric MLLM Adaptation,-,trained,trained,Qwen2.5-VL,"dynamic, 32k max",-,frozen,frozen,Qwen2.5-VL-7B,-,frozen (LoRA),trained (full SFT + DPO LoRA),Frozen Qwen MLP projector + LoRA,-,trained,trained
4,CREAM,partial,Retriever-Generator Pipeline,-,-,trained,Pix2Struct,2048 patches (Pix2Struct default),-,-,frozen,LLaMA2-7B,-,-,frozen (LoRA + norm/bias tuning),Attn pooling + MLP + LoRA,-,-,trained
5,DFVC,partial,Retriever-Generator Pipeline,-,-,trained,"VisRAG, ColQwen",dynamic (VisRAG/ColQwen),-,-,frozen,Qwen2-VL-2B-Instruct,-,-,frozen,Cross-page MLP,-,-,trained
6,Doc-V*,end-to-end,Agentic Pipeline,-,trained,trained,Qwen2.5-VL ViT,1024x768 / 256x256 thumb,-,frozen,frozen,Qwen2.5-VL-7B-Instruct,-,trained,trained,Frozen MLP,-,frozen,frozen
7,DocAgent,training-free,Agentic Pipeline,-,-,-,-,144 DPI,-,-,-,Gemini 2.0 Flash / GPT-4o / Claude Sonnet 3.5,-,-,-,-,-,-,-
8,DocDancer,end-to-end,Agentic Pipeline,-,-,-,Qwen3-VL-235B-A22B-Instruct,144 DPI (VLM baselines),-,frozen (external reader),-,Qwen3-4B/30B-A3B,-,trained,-,-,-,-,-
9,DocLens,training-free,Agentic Pipeline,-,-,-,N/A (frontier VLMs consume page screenshots + cropped visual elements directly),dynamic (frontier VLMs),-,-,-,Gemini-2.5-Pro / Gemini-2.5-Flash / Claude-4-Sonnet,-,-,-,-,-,-,-
10,Docopilot,end-to-end,Backbone-Centric MLLM Adaptation,-,trained,-,InternViT-300M,"448 tile, max 24 tiles",-,trained,-,InternLM2-1.8B / InternLM2.5-7B,-,trained,-,2-layer MLP,-,trained,-
11,DocR1,end-to-end,Backbone-Centric MLLM Adaptation,-,-,-,Qwen2.5-VL,"dynamic, max 1024 patches",-,-,trained (not stated frozen),Qwen2.5-VL-7B,-,-,trained,Frozen Qwen MLP projector,-,-,-
12,DocReact,training-free,Agentic Pipeline,-,-,-,"ColPali, VisRAG-Ret",448x448 (ColPali default) / dynamic (VisRAG),-,-,-,GPT-4o,-,-,-,-,-,-,-
13,DocSLM,end-to-end,Backbone-Centric MLLM Adaptation,trained,trained,trained,SigLIP2,"dynamic 384-1152, 576 tok/page",trained,frozen,frozen,Qwen2.5-1.5B,frozen,trained,trained,OCR/Vision compressor + MLP,trained,trained,trained
14,GRAM,end-to-end,Page-to-Document Encoding Models,-,-,trained,DocFormerv2,"800 tok/page train, 8000 test",-,-,trained,DocFormerv2,-,-,trained,-,-,-,trained
15,Hi-VT5,partial,Page-to-Document Encoding Models,trained,-,trained,DiT,"224x224 (DiT default), 20480 max tokens",frozen (projection trained),-,frozen,T5,trained,-,trained (decoder/page head),-,trained,-,trained
16,InstructDoc,partial,Backbone-Centric MLLM Adaptation,-,trained,trained,CLIP,224x224,-,frozen,frozen,FlanT5 / BLIP2,-,frozen,frozen,Doc-former + proj,-,trained,trained
17,KGP,partial,Retriever-Generator Pipeline,-,trained (LoRA where used),-,-,-,-,-,-,"T5-large, LLaMa-7B, MDR (RoBERTa), ChatGPT",trained (MDR encoder),trained,-,LoRA,-,trained (LoRA where used),-
18,LayTokenLLM,partial,Backbone-Centric MLLM Adaptation,trained,trained,-,-,-,-,-,-,LLaMA3-8B / Qwen1.5-7B,frozen,frozen,-,Layout tokenizer + LoRA,trained,trained,-
19,Leopard,partial,Backbone-Centric MLLM Adaptation,trained,trained,-,SigLIP-SO400M,"364x364 / 980x980, max 50 sub-imgs",frozen,frozen (not unfrozen stated),-,LLaMa-3.1-8B / Mistral-7B,frozen,trained,-,MLP / Idefics2 resampler,trained,trained,-
20,M2RAG,partial,Retriever-Generator Pipeline,-,-,trained,VisRAG-Ret (MiniCPM-V based),dynamic (VisRAG/MiniCPM-V),-,-,frozen,"Qwen2.5-7B-Instruct, Qwen2.5-VL-7B-Instruct, Qwen2.5-VL-32B",-,-,frozen (LoRA),Frozen Qwen MLP projector + LoRA + modal fuser,-,-,trained
21,M3DocRAG,training-free,Retriever-Generator Pipeline,-,-,-,ColPali / ColQwen,"144 DPI, ~1700px wide",-,-,-,Qwen2-VL-7B / InternVL2-8B / Idefics2-8B / Idefics3-8B,-,-,-,-,-,-,-
22,MACT,end-to-end,Agentic Pipeline,-,-,-,Qwen2.5-VL-7B-Instruct / MiMo-VL-7B-SFT / InternVL3-9B (VLM for plan+execute agents),dynamic (Qwen/InternVL),-,trained (SFT; not stated frozen),trained (GRPO),"Qwen2.5-VL-7B / MiMo-VL-7B-SFT / InternVL3-9B, Qwen2.5-7B/3B / MiMo-7B-SFT / InternVL3-8B/2B",-,trained,trained (GRPO),-,-,-,-
23,MDocAgent,training-free,Retriever-Generator Pipeline,-,-,-,ColPali / ColQwen2,144 DPI,-,-,-,"LLaMA-3.1-8B-Instruct, Qwen2-VL-7B-Instruct",-,-,-,-,-,-,-
24,MHier-RAG,training-free,Retriever-Generator Pipeline,-,-,-,Qwen-VL-Plus,dynamic (Qwen-VL),-,-,-,Qwen-VL-Plus / GPT-3-turbo / Qwen-turbo / GPT-4o / DeepSeek-chat / ERNIE-turbo,-,-,-,-,-,-,-
25,MLDocRAG,partial,Retriever-Generator Pipeline,-,-,-,N/A (LVLM Qwen2.5-VL used directly on multimodal chunks),dynamic (Qwen2.5-VL),-,-,trained (optional 7B MDoc2Query SFT),"Qwen2.5-VL-32B-Instruct, Qwen2.5-VL-7B, Qwen2.5-72B",-,-,trained (optional 7B MDoc2Query SFT),Frozen Qwen MLP projector,-,-,-
26,MoLoRAG,partial,Retriever-Generator Pipeline,-,-,-,ColPali,448x448 (ColPali default),-,-,trained (MoLoRAG+ retrieval-engine SFT),Qwen2.5-VL 3B/7B / Deepseek-VL-16B / LlaVa-Next-7B,-,-,trained (MoLoRAG+ retrieval-engine SFT),Frozen base projector,-,-,-
27,mPLUG-DocOwl2,end-to-end,Backbone-Centric MLLM Adaptation,trained,-,trained,ViT-L/14,"504x504, max 12 crops",trained then frozen,-,frozen,mPLUG-Owl2,frozen,-,trained,H-Reducer + DocCompressor,trained,-,trained
28,MultiDocFusion,partial,Retriever-Generator Pipeline,-,trained,-,-,-,-,-,-,Mistral-8B / Llama-3.2-3B / Qwen-2.5-3B / Qwen-2.5-7B,-,trained,-,LoRA,-,trained,-
29,PDF-WuKong,end-to-end,Retriever-Generator Pipeline,-,-,trained,IXC2-VL-4KHD,"dynamic 336px-4K, max 16 tiles",-,-,trained,IXC2-VL-4KHD,-,-,trained,Sparse sampler,-,-,trained
30,RAG-DocVQA,partial,Retriever-Generator Pipeline,-,-,trained,DiT / Pix2Struct,2048 patches (Pix2Struct),-,-,trained (VT5); frozen (Pix2Struct target versions),VT5 / Qwen2.5-VL-7B-Instruct,-,-,trained (VT5 full; Qwen LoRA),LoRA,-,-,trained
31,RM-T5,partial,Page-to-Document Encoding Models,trained,-,trained,DiT,512 tok/page max,-,-,frozen,T5-base,trained,-,trained (decoder),-,trained,-,trained
32,Self-Attention Scoring,partial,Retriever-Generator Pipeline,-,-,trained,Pix2Struct,2048 patches (16x16),-,-,frozen,Pix2Struct,-,-,frozen,-,-,-,trained
33,SimpleDoc,training-free,Agentic Pipeline,-,-,-,ColQwen-2.5,dynamic (ColQwen-2.5),-,-,-,"Qwen2.5-VL-32B-Instruct, Qwen3-30B-A3B",-,-,-,-,-,-,-
34,TextHawk2,end-to-end,Backbone-Centric MLLM Adaptation,trained,trained,-,SigLIP-SO400M,"224x224 base, max 72 sub-imgs",trained,trained,-,Qwen2-7B-Instruct,trained,trained,-,QPN + ReSA,trained,trained,-
35,VDocRAG,partial,Retriever-Generator Pipeline,trained,-,trained,Phi3V-4.2B,"336x336 dynamic, up to 1344x1344",frozen,-,frozen,Phi3V-4.2B,frozen (LoRA),-,frozen (LoRA),LoRA + MLP,trained,-,trained
36,ViDoRAG,training-free,Agentic Pipeline,-,-,-,"Nv-embed-V2, ColQwen2",dynamic (ColQwen2),-,-,-,Qwen2.5-VL / LLaMA3.2-Vision / GPT-4o,-,-,-,-,-,-,-
37,DREAM,partial,Retriever-Generator Pipeline,-,-,trained,InternVL2 ViT,"448 tile, max 24 tiles (InternVL2 default)",-,-,frozen,InternVL2-4B,-,-,frozen (LoRA),Cross-page MoE attention connector + LoRA,-,-,trained
38,MM-Doc-R1,partial,Agentic Pipeline,-,-,trained,Qwen2.5-VL ViT (read tool),"dynamic (Qwen2.5-VL)",-,-,frozen,Qwen3-4B / Qwen3-8B,-,-,trained (SPO/GRPO),-,-,-,trained
39,SV-RAG,partial,Retriever-Generator Pipeline,-,-,trained,InternVL2 / PaliGemma / Phi-3-vision,"dynamic (InternVL2 default), 448x448 (PaliGemma)",-,-,frozen,InternVL2-4B / PaliGemma-3B / Phi-3-vision-4B,-,-,frozen (LoRA),Dual LoRA adapters (retrieval + QA) + Col-projection,-,-,trained
40,SLEUTH,training-free,Agentic Pipeline,-,-,-,ColPali (retriever),448x448 (ColPali default),-,-,-,Qwen3-VL-8B / GLM-4.1V-Thinking-8B / Gemini-2.5-Flash,-,-,-,-,-,-,-
41,MM-R5,partial,Retriever-Generator Pipeline,-,trained,trained,Qwen2.5-VL ViT,"dynamic (Qwen2.5-VL)",-,frozen,frozen,Qwen2.5-VL-7B,-,trained (SFT),trained (GRPO),-,-,trained,trained
42,VisDoMRAG,training-free,Retriever-Generator Pipeline,-,-,-,ColPali / ColQwen2,"448x448 (ColPali), dynamic (ColQwen2)",-,-,-,Qwen2-VL-7B-Instruct / Gemini-1.5-Flash / GPT-4o,-,-,-,-,-,-,-
43,VRAG-RL,end-to-end,Agentic Pipeline,-,trained,trained,Qwen2.5-VL ViT,dynamic (Qwen2.5-VL),-,trained,trained,Qwen2.5-VL-3B-Instruct / Qwen2.5-VL-7B-Instruct,-,trained (full SFT),trained (GRPO),-,-,trained,trained
44,URaG,partial,Backbone-Centric MLLM Adaptation,-,-,trained,Qwen2.5-VL ViT,dynamic (Qwen2.5-VL),-,-,frozen,Qwen2.5-VL-3B / Qwen2.5-VL-7B,-,-,frozen (LoRA),Cross-modal retrieval module (2 linear + GELU) + LoRA (rank 32),-,-,trained
45,DocSeeker,end-to-end,Backbone-Centric MLLM Adaptation,-,trained,trained,Qwen2.5-VL ViT,"1024x784 eval, EGRA training",-,trained,trained,Qwen2.5-VL-7B-Instruct,-,trained (SFT),trained (EviGRPO),-,-,trained,trained
46,DMAP,training-free,Agentic Pipeline,-,-,-,ColPali,dynamic (ColPali default),-,-,-,GPT-4o / Qwen-plus,-,-,-,-,-,-,-
